,Actual_Points,sdPts
123,17.9,2.0
155,7.8,3.0
160,4.4,1.8
187,18.3,2.4
193,5.0,1.9
212,8.0,2.3
226,10.9,1.5
231,3.9,2.6
245,6.0,1.3
275,6.3,1.7
286,5.4,1.0
292,9.6,0.7
343,9.5,1.3
381,8.2,2.1
389,9.0,2.0
539,6.0,1.0
1023,21.1,0.1

55,19.4,2.1
94,20.4,1.7
97,4.9,2.8
102,9.8,2.5
123,5.7,2.3
134,4.6,1.8
136,9.7,2.0
155,5.6,2.3
174,19.6,1.2
198,12.3,1.6
212,10.3,1.9
213,20.7,2.1
268,5.6,0.8
275,3.9,0.9
279,11.3,1.6
291,5.5,1.3
315,12.8,1.6
322,11.4,1.0
357,8.6,0.9
438,4.6,0.8
